"Name","Team","Pos","AB","R","HR","RBI","SB","AVG","FlanaprogTiering","BOSTeam","BOSPos","ALPos"
"Gordon Beckham","CWS","2B",422,52,9,40,5,0.256,4,"**","","2B"
"Grady Sizemore","Bos","OF",243,30,7,29,2,0.233,0,"**","","OF2"
"Hank Conger","LAA","C",238,24,7,27,1,0.24,0,"**","","C2"
"Howie Kendrick","LAA","2B",539,66,12,66,10,0.282,10,"**","","2B"
"Ian Kinsler","Det","2B",587,93,17,69,19,0.271,13,"**","","2B"
"Ichiro Suzuki","NYY","OF",264,31,4,23,11,0.262,3,"**","","OF4"
"Jackie Bradley","Bos","OF",333,46,8,32,8,0.242,2,"**","","OF3"
"Jacoby Ellsbury","NYY","OF",588,93,16,62,42,0.287,16,"**","","OF5"
"James Loney","TB","1B",498,52,10,64,3,0.282,8,"**","","1B"
"Jarrod Dyson","KC","OF",161,24,1,11,18,0.242,3,"**","","OF2"
"Jason Castro","Hou","C",479,65,18,62,2,0.266,8,"**","","C1"
"Jason Kipnis","Cle","2B",554,85,17,79,26,0.269,15,"**","","2B"
"Jason Kubel","Min","OF",255,29,9,36,1,0.237,1,"**","","OF4"
"JB Schuck","LAA","OF",220,28,1,19,6,0.273,3,"**","","OF1"
"Jed Lowrie","Oak","2B,SS",538,74,16,71,3,0.271,9,"**","","SS"
"Jeff Keppinger DL","CWS","1B,2B,3B",206,23,4,21,1,0.278,3,"**","","MI"
"Jemile Weeks","Bal","2B",266,35,2,20,9,0.242,2,"**","","2B"
"Jesus Guzman","Hou","1B,OF",286,36,10,42,4,0.251,3,"**","","OF4"
"JJ Hardy","Bal","SS",577,72,25,74,1,0.268,11,"**","","SS"
"Joe Mauer","Min","C",544,80,12,71,4,0.303,12,"**","","C1"
"John Buck","Sea","C",166,17,6,19,1,0.224,0,"**","","C1"
"John Jaso","Oak","C",350,50,8,45,4,0.26,3,"**","","C2"
"Jonathan Villar","Hou","SS",490,58,8,41,37,0.235,7,"**","","SS"
"Jonny Gomes","Bos","OF",355,54,17,57,3,0.243,5,"**","","OF4"
"Jose Abreu","CWS","1B",438,73,28,79,4,0.262,12,"**","","CI"
"Jose Altuve","Hou","2B",608,71,6,50,32,0.284,11,"**","","2B"
"Jose Bautista","Tor","OF",486,88,33,83,7,0.266,14,"**","","OF3"
"Jose Iglesias DL","Det","SS,3B",118,12,2,10,3,0.259,2,"**","","SS"
"Jose Molina","TB","C",243,25,4,22,2,0.225,0,"**","","C1"
"Jose Reyes","Tor","SS",534,80,12,50,27,0.297,13,"**","","SS"
"Josh Donaldson","Oak","3B",558,83,23,85,7,0.274,14,"**","","3B"
